datetime,Load_Type,Motor_and_Transformer_Load_kVarh
2021-01-02 18:00:00,Light_Load,0.0
2021-01-02 19:00:00,Light_Load,0.0
2021-01-02 20:00:00,Light_Load,0.0
2021-01-02 21:00:00,Light_Load,0.0
2021-01-02 22:00:00,Light_Load,4.54
2021-01-02 23:00:00,Light_Load,3.06
2021-01-03 00:00:00,Light_Load,3.28
2021-01-03 01:00:00,Light_Load,4.14
2021-01-03 02:00:00,Light_Load,4.03
2021-01-03 03:00:00,Light_Load,3.85
2021-01-03 04:00:00,Light_Load,4.54
2021-01-03 05:00:00,Light_Load,3.49
2021-01-03 06:00:00,Light_Load,4.46
2021-01-03 07:00:00,Light_Load,3.6
2021-01-03 08:00:00,Light_Load,4.46
2021-01-03 09:00:00,Light_Load,0.0
2021-01-03 10:00:00,Light_Load,0.0
2021-01-03 11:00:00,Light_Load,0.0
2021-01-03 12:00:00,Light_Load,0.0
2021-01-03 13:00:00,Light_Load,0.0
2021-01-03 14:00:00,Light_Load,0.0
2021-01-03 15:00:00,Light_Load,0.0
2021-01-03 16:00:00,Light_Load,0.0
2021-01-03 17:00:00,Light_Load,0.0
2021-01-03 18:00:00,Light_Load,0.0
2021-01-03 19:00:00,Light_Load,0.0
2021-01-03 20:00:00,Light_Load,0.0
2021-01-03 21:00:00,Light_Load,0.0
2021-01-03 22:00:00,Light_Load,3.35
2021-01-03 23:00:00,Light_Load,3.96
2021-01-04 00:00:00,Light_Load,3.67
2021-01-04 01:00:00,Light_Load,3.96
2021-01-04 02:00:00,Light_Load,4.39
2021-01-04 03:00:00,Light_Load,3.49
2021-01-04 04:00:00,Light_Load,4.68
2021-01-04 05:00:00,Light_Load,3.42
2021-01-04 06:00:00,Light_Load,4.07
2021-01-04 07:00:00,Light_Load,4.79
2021-01-04 08:00:00,Light_Load,35.32
2021-01-04 09:00:00,Medium_Load,2.34
2021-01-04 10:00:00,Maximum_Load,32.4
2021-01-04 11:00:00,Maximum_Load,54.29
2021-01-04 12:00:00,Medium_Load,0.0
2021-01-04 13:00:00,Medium_Load,49.79
2021-01-04 14:00:00,Medium_Load,27.58
2021-01-04 15:00:00,Medium_Load,52.88
2021-01-04 16:00:00,Medium_Load,65.27
2021-01-04 17:00:00,Maximum_Load,34.63
2021-01-04 18:00:00,Maximum_Load,8.82
2021-01-04 19:00:00,Maximum_Load,5.29
2021-01-04 20:00:00,Medium_Load,0.0
2021-01-04 21:00:00,Medium_Load,0.0
2021-01-04 22:00:00,Maximum_Load,5.18
2021-01-04 23:00:00,Light_Load,4.25
2021-01-05 00:00:00,Light_Load,4.5
2021-01-05 01:00:00,Light_Load,4.79
2021-01-05 02:00:00,Light_Load,4.75
2021-01-05 03:00:00,Light_Load,4.68
2021-01-05 04:00:00,Light_Load,4.32
2021-01-05 05:00:00,Light_Load,4.43
2021-01-05 06:00:00,Light_Load,4.54
2021-01-05 07:00:00,Light_Load,4.68
2021-01-05 08:00:00,Light_Load,53.32
2021-01-05 09:00:00,Medium_Load,21.96
2021-01-05 10:00:00,Maximum_Load,15.08
2021-01-05 11:00:00,Maximum_Load,44.17
2021-01-05 12:00:00,Medium_Load,0.0
2021-01-05 13:00:00,Medium_Load,17.24
2021-01-05 14:00:00,Medium_Load,26.42
2021-01-05 15:00:00,Medium_Load,28.62
2021-01-05 16:00:00,Medium_Load,39.06
2021-01-05 17:00:00,Maximum_Load,39.2
2021-01-05 18:00:00,Maximum_Load,4.18
2021-01-05 19:00:00,Maximum_Load,5.69
2021-01-05 20:00:00,Medium_Load,2.02
2021-01-05 21:00:00,Medium_Load,0.0
2021-01-05 22:00:00,Maximum_Load,5.15
2021-01-05 23:00:00,Light_Load,4.43
2021-01-06 00:00:00,Light_Load,4.68
2021-01-06 01:00:00,Light_Load,4.64
2021-01-06 02:00:00,Light_Load,4.9
2021-01-06 03:00:00,Light_Load,4.86
2021-01-06 04:00:00,Light_Load,4.54
2021-01-06 05:00:00,Light_Load,4.39
2021-01-06 06:00:00,Light_Load,4.68
2021-01-06 07:00:00,Light_Load,4.9
2021-01-06 08:00:00,Light_Load,75.82
2021-01-06 09:00:00,Medium_Load,53.53
2021-01-06 10:00:00,Maximum_Load,41.04
2021-01-06 11:00:00,Maximum_Load,60.19
2021-01-06 12:00:00,Medium_Load,0.0
2021-01-06 13:00:00,Medium_Load,33.66
2021-01-06 14:00:00,Medium_Load,44.35
2021-01-06 15:00:00,Medium_Load,51.8
2021-01-06 16:00:00,Medium_Load,38.99
2021-01-06 17:00:00,Maximum_Load,1.94
2021-01-06 18:00:00,Maximum_Load,15.26
2021-01-06 19:00:00,Maximum_Load,38.88
2021-01-06 20:00:00,Medium_Load,11.99
2021-01-06 21:00:00,Medium_Load,0.0
2021-01-06 22:00:00,Maximum_Load,6.34
2021-01-06 23:00:00,Light_Load,5.04
2021-01-07 00:00:00,Light_Load,5.54
2021-01-07 01:00:00,Light_Load,4.86
2021-01-07 02:00:00,Light_Load,5.22
2021-01-07 03:00:00,Light_Load,5.0
2021-01-07 04:00:00,Light_Load,4.86
2021-01-07 05:00:00,Light_Load,4.79
2021-01-07 06:00:00,Light_Load,4.72
2021-01-07 07:00:00,Light_Load,5.18
2021-01-07 08:00:00,Light_Load,62.35
2021-01-07 09:00:00,Medium_Load,39.02
2021-01-07 10:00:00,Maximum_Load,46.04
2021-01-07 11:00:00,Maximum_Load,63.79
2021-01-07 12:00:00,Medium_Load,0.0
2021-01-07 13:00:00,Medium_Load,36.43
2021-01-07 14:00:00,Medium_Load,59.04
2021-01-07 15:00:00,Medium_Load,38.09
2021-01-07 16:00:00,Medium_Load,44.93
2021-01-07 17:00:00,Maximum_Load,1.8
2021-01-07 18:00:00,Maximum_Load,24.62
2021-01-07 19:00:00,Maximum_Load,19.66
2021-01-07 20:00:00,Medium_Load,1.4
2021-01-07 21:00:00,Medium_Load,0.0
2021-01-07 22:00:00,Maximum_Load,4.21
2021-01-07 23:00:00,Light_Load,4.39
2021-01-08 00:00:00,Light_Load,4.68
2021-01-08 01:00:00,Light_Load,5.0
2021-01-08 02:00:00,Light_Load,5.58
2021-01-08 03:00:00,Light_Load,5.72
2021-01-08 04:00:00,Light_Load,5.83
2021-01-08 05:00:00,Light_Load,5.26
2021-01-08 06:00:00,Light_Load,5.4
2021-01-08 07:00:00,Light_Load,5.26
2021-01-08 08:00:00,Light_Load,5.08
2021-01-08 09:00:00,Light_Load,0.0
2021-01-08 10:00:00,Light_Load,0.0
2021-01-08 11:00:00,Light_Load,0.0
2021-01-08 12:00:00,Light_Load,0.0
2021-01-08 13:00:00,Light_Load,0.0
2021-01-08 14:00:00,Light_Load,0.0
2021-01-08 15:00:00,Light_Load,0.0
2021-01-08 16:00:00,Light_Load,0.0
2021-01-08 17:00:00,Light_Load,0.0
2021-01-08 18:00:00,Light_Load,0.0
2021-01-08 19:00:00,Light_Load,0.0
2021-01-08 20:00:00,Light_Load,0.0
2021-01-08 21:00:00,Light_Load,0.0
2021-01-08 22:00:00,Light_Load,3.35
2021-01-08 23:00:00,Light_Load,2.92
2021-01-09 00:00:00,Light_Load,3.6
2021-01-09 01:00:00,Light_Load,3.2
2021-01-09 02:00:00,Light_Load,4.32
2021-01-09 03:00:00,Light_Load,3.2
2021-01-09 04:00:00,Light_Load,4.18
2021-01-09 05:00:00,Light_Load,3.31
2021-01-09 06:00:00,Light_Load,3.71
2021-01-09 07:00:00,Light_Load,4.21
2021-01-09 08:00:00,Light_Load,3.85
2021-01-09 09:00:00,Light_Load,0.0
2021-01-09 10:00:00,Light_Load,0.0
2021-01-09 11:00:00,Light_Load,0.0
2021-01-09 12:00:00,Light_Load,0.0
2021-01-09 13:00:00,Light_Load,0.0
2021-01-09 14:00:00,Light_Load,0.0
2021-01-09 15:00:00,Light_Load,0.0
2021-01-09 16:00:00,Light_Load,0.0
2021-01-09 17:00:00,Light_Load,0.0
2021-01-09 18:00:00,Light_Load,0.0
2021-01-09 19:00:00,Light_Load,0.0
2021-01-09 20:00:00,Light_Load,0.0
2021-01-09 21:00:00,Light_Load,0.0
2021-01-09 22:00:00,Light_Load,5.08
2021-01-09 23:00:00,Light_Load,4.1
2021-01-10 00:00:00,Light_Load,4.25
2021-01-10 01:00:00,Light_Load,5.83
2021-01-10 02:00:00,Light_Load,4.68
2021-01-10 03:00:00,Light_Load,5.36
2021-01-10 04:00:00,Light_Load,4.93
2021-01-10 05:00:00,Light_Load,4.57
2021-01-10 06:00:00,Light_Load,5.87
2021-01-10 07:00:00,Light_Load,5.94
2021-01-10 08:00:00,Light_Load,56.23
2021-01-10 09:00:00,Medium_Load,51.37
2021-01-10 10:00:00,Maximum_Load,58.9
2021-01-10 11:00:00,Maximum_Load,65.95
2021-01-10 12:00:00,Medium_Load,0.0
2021-01-10 13:00:00,Medium_Load,55.62
2021-01-10 14:00:00,Medium_Load,33.12
2021-01-10 15:00:00,Medium_Load,56.84
2021-01-10 16:00:00,Medium_Load,53.93
2021-01-10 17:00:00,Maximum_Load,1.01
2021-01-10 18:00:00,Maximum_Load,57.35
2021-01-10 19:00:00,Maximum_Load,46.94
2021-01-10 20:00:00,Medium_Load,40.28
2021-01-10 21:00:00,Medium_Load,0.0
2021-01-10 22:00:00,Maximum_Load,5.0
2021-01-10 23:00:00,Light_Load,4.1
2021-01-11 00:00:00,Light_Load,4.46
2021-01-11 01:00:00,Light_Load,4.39
2021-01-11 02:00:00,Light_Load,4.28
2021-01-11 03:00:00,Light_Load,4.5
2021-01-11 04:00:00,Light_Load,4.18
2021-01-11 05:00:00,Light_Load,3.89
2021-01-11 06:00:00,Light_Load,2.88
2021-01-11 07:00:00,Light_Load,4.07
2021-01-11 08:00:00,Light_Load,66.67
2021-01-11 09:00:00,Medium_Load,33.44
2021-01-11 10:00:00,Maximum_Load,45.83
2021-01-11 11:00:00,Maximum_Load,66.31
2021-01-11 12:00:00,Medium_Load,0.0
2021-01-11 13:00:00,Medium_Load,33.88
2021-01-11 14:00:00,Medium_Load,34.78
2021-01-11 15:00:00,Medium_Load,37.55
2021-01-11 16:00:00,Medium_Load,34.52
2021-01-11 17:00:00,Maximum_Load,1.15
2021-01-11 18:00:00,Maximum_Load,49.25
2021-01-11 19:00:00,Maximum_Load,40.82
2021-01-11 20:00:00,Medium_Load,25.88
2021-01-11 21:00:00,Medium_Load,0.0
2021-01-11 22:00:00,Maximum_Load,4.97
2021-01-11 23:00:00,Light_Load,4.25
2021-01-12 00:00:00,Light_Load,4.61
2021-01-12 01:00:00,Light_Load,4.57
2021-01-12 02:00:00,Light_Load,4.5
2021-01-12 03:00:00,Light_Load,4.5
2021-01-12 04:00:00,Light_Load,4.36
2021-01-12 05:00:00,Light_Load,4.39
2021-01-12 06:00:00,Light_Load,4.75
2021-01-12 07:00:00,Light_Load,5.0
2021-01-12 08:00:00,Light_Load,63.22
2021-01-12 09:00:00,Medium_Load,32.58
2021-01-12 10:00:00,Maximum_Load,42.23
2021-01-12 11:00:00,Maximum_Load,71.89
2021-01-12 12:00:00,Medium_Load,0.0
2021-01-12 13:00:00,Medium_Load,31.36
2021-01-12 14:00:00,Medium_Load,34.09
2021-01-12 15:00:00,Medium_Load,29.41
2021-01-12 16:00:00,Medium_Load,46.69
2021-01-12 17:00:00,Maximum_Load,53.57
2021-01-12 18:00:00,Maximum_Load,0.0
2021-01-12 19:00:00,Maximum_Load,0.0
2021-01-12 20:00:00,Medium_Load,0.0
2021-01-12 21:00:00,Medium_Load,0.0
2021-01-12 22:00:00,Maximum_Load,5.4
2021-01-12 23:00:00,Light_Load,4.54
2021-01-13 00:00:00,Light_Load,4.9
2021-01-13 01:00:00,Light_Load,4.79
2021-01-13 02:00:00,Light_Load,4.39
2021-01-13 03:00:00,Light_Load,4.28
2021-01-13 04:00:00,Light_Load,4.5
2021-01-13 05:00:00,Light_Load,4.54
2021-01-13 06:00:00,Light_Load,3.92
2021-01-13 07:00:00,Light_Load,4.0
2021-01-13 08:00:00,Light_Load,71.78
2021-01-13 09:00:00,Medium_Load,44.5
2021-01-13 10:00:00,Maximum_Load,45.32
2021-01-13 11:00:00,Maximum_Load,43.24
2021-01-13 12:00:00,Medium_Load,0.0
2021-01-13 13:00:00,Medium_Load,50.76
2021-01-13 14:00:00,Medium_Load,56.99
2021-01-13 15:00:00,Medium_Load,48.64
2021-01-13 16:00:00,Medium_Load,39.06
2021-01-13 17:00:00,Maximum_Load,4.28
2021-01-13 18:00:00,Maximum_Load,47.88
2021-01-13 19:00:00,Maximum_Load,63.04
2021-01-13 20:00:00,Medium_Load,28.94
2021-01-13 21:00:00,Medium_Load,0.0
2021-01-13 22:00:00,Maximum_Load,5.54
2021-01-13 23:00:00,Light_Load,4.86
2021-01-14 00:00:00,Light_Load,5.15
2021-01-14 01:00:00,Light_Load,5.4
2021-01-14 02:00:00,Light_Load,5.08
2021-01-14 03:00:00,Light_Load,4.82
2021-01-14 04:00:00,Light_Load,4.9
2021-01-14 05:00:00,Light_Load,5.22
2021-01-14 06:00:00,Light_Load,4.97
2021-01-14 07:00:00,Light_Load,4.46
2021-01-14 08:00:00,Light_Load,68.08
2021-01-14 09:00:00,Medium_Load,33.26
2021-01-14 10:00:00,Maximum_Load,34.09
2021-01-14 11:00:00,Maximum_Load,59.98
2021-01-14 12:00:00,Medium_Load,0.0
2021-01-14 13:00:00,Medium_Load,42.16
2021-01-14 14:00:00,Medium_Load,48.1
2021-01-14 15:00:00,Medium_Load,49.82
2021-01-14 16:00:00,Medium_Load,46.4
2021-01-14 17:00:00,Maximum_Load,1.26
2021-01-14 18:00:00,Maximum_Load,57.02
2021-01-14 19:00:00,Maximum_Load,59.94
2021-01-14 20:00:00,Medium_Load,24.66
2021-01-14 21:00:00,Medium_Load,0.0
2021-01-14 22:00:00,Maximum_Load,4.93
2021-01-14 23:00:00,Light_Load,3.46
2021-01-15 00:00:00,Light_Load,3.89
2021-01-15 01:00:00,Light_Load,3.74
2021-01-15 02:00:00,Light_Load,4.14
2021-01-15 03:00:00,Light_Load,4.28
2021-01-15 04:00:00,Light_Load,4.07
2021-01-15 05:00:00,Light_Load,4.39
2021-01-15 06:00:00,Light_Load,4.32
2021-01-15 07:00:00,Light_Load,4.14
2021-01-15 08:00:00,Light_Load,68.62
2021-01-15 09:00:00,Medium_Load,11.27
2021-01-15 10:00:00,Maximum_Load,26.17
2021-01-15 11:00:00,Maximum_Load,46.51
2021-01-15 12:00:00,Medium_Load,0.0
2021-01-15 13:00:00,Medium_Load,25.45
2021-01-15 14:00:00,Medium_Load,29.05
2021-01-15 15:00:00,Medium_Load,41.87
2021-01-15 16:00:00,Medium_Load,21.49
2021-01-15 17:00:00,Maximum_Load,0.0
2021-01-15 18:00:00,Maximum_Load,0.0
2021-01-15 19:00:00,Maximum_Load,0.0
2021-01-15 20:00:00,Medium_Load,0.0
2021-01-15 21:00:00,Medium_Load,0.0
2021-01-15 22:00:00,Maximum_Load,4.72
2021-01-15 23:00:00,Light_Load,4.07
2021-01-16 00:00:00,Light_Load,4.46
2021-01-16 01:00:00,Light_Load,4.93
2021-01-16 02:00:00,Light_Load,4.97
2021-01-16 03:00:00,Light_Load,5.33
2021-01-16 04:00:00,Light_Load,3.74
2021-01-16 05:00:00,Light_Load,3.56
2021-01-16 06:00:00,Light_Load,5.0
2021-01-16 07:00:00,Light_Load,4.25
2021-01-16 08:00:00,Light_Load,7.31
2021-01-16 09:00:00,Medium_Load,0.0
2021-01-16 10:00:00,Maximum_Load,0.0
2021-01-16 11:00:00,Maximum_Load,1.08
2021-01-16 12:00:00,Medium_Load,0.0
2021-01-16 13:00:00,Medium_Load,1.12
2021-01-16 14:00:00,Medium_Load,0.11
2021-01-16 15:00:00,Medium_Load,3.96
2021-01-16 16:00:00,Medium_Load,0.0
2021-01-16 17:00:00,Maximum_Load,0.0
2021-01-16 18:00:00,Maximum_Load,0.0
2021-01-16 19:00:00,Maximum_Load,0.0
2021-01-16 20:00:00,Medium_Load,0.0
2021-01-16 21:00:00,Medium_Load,0.0
2021-01-16 22:00:00,Maximum_Load,4.1
2021-01-16 23:00:00,Light_Load,3.74
2021-01-17 00:00:00,Light_Load,4.39
2021-01-17 01:00:00,Light_Load,4.46
2021-01-17 02:00:00,Light_Load,4.64
2021-01-17 03:00:00,Light_Load,4.57
2021-01-17 04:00:00,Light_Load,4.43
2021-01-17 05:00:00,Light_Load,4.36
2021-01-17 06:00:00,Light_Load,4.0
2021-01-17 07:00:00,Light_Load,3.56
2021-01-17 08:00:00,Light_Load,78.26
2021-01-17 09:00:00,Medium_Load,47.05
2021-01-17 10:00:00,Maximum_Load,48.85
2021-01-17 11:00:00,Maximum_Load,68.47
2021-01-17 12:00:00,Medium_Load,0.0
2021-01-17 13:00:00,Medium_Load,70.45
2021-01-17 14:00:00,Medium_Load,26.6
2021-01-17 15:00:00,Medium_Load,20.02
2021-01-17 16:00:00,Medium_Load,26.6
2021-01-17 17:00:00,Maximum_Load,3.31
2021-01-17 18:00:00,Maximum_Load,37.04
2021-01-17 19:00:00,Maximum_Load,30.85
2021-01-17 20:00:00,Medium_Load,22.54
2021-01-17 21:00:00,Medium_Load,0.0
2021-01-17 22:00:00,Maximum_Load,6.12
2021-01-17 23:00:00,Light_Load,5.33
2021-01-18 00:00:00,Light_Load,6.01
2021-01-18 01:00:00,Light_Load,5.58
2021-01-18 02:00:00,Light_Load,5.94
2021-01-18 03:00:00,Light_Load,5.76
2021-01-18 04:00:00,Light_Load,5.87
2021-01-18 05:00:00,Light_Load,5.54
2021-01-18 06:00:00,Light_Load,6.41
2021-01-18 07:00:00,Light_Load,6.08
2021-01-18 08:00:00,Light_Load,64.37
2021-01-18 09:00:00,Medium_Load,35.64
2021-01-18 10:00:00,Maximum_Load,37.44
2021-01-18 11:00:00,Maximum_Load,46.37
2021-01-18 12:00:00,Medium_Load,0.0
2021-01-18 13:00:00,Medium_Load,40.07
2021-01-18 14:00:00,Medium_Load,44.46
2021-01-18 15:00:00,Medium_Load,43.2
2021-01-18 16:00:00,Medium_Load,36.97
2021-01-18 17:00:00,Maximum_Load,17.64
2021-01-18 18:00:00,Maximum_Load,37.44
2021-01-18 19:00:00,Maximum_Load,37.22
2021-01-18 20:00:00,Medium_Load,50.4
2021-01-18 21:00:00,Medium_Load,0.0
2021-01-18 22:00:00,Maximum_Load,3.92
2021-01-18 23:00:00,Light_Load,4.39
2021-01-19 00:00:00,Light_Load,4.86
2021-01-19 01:00:00,Light_Load,4.97
2021-01-19 02:00:00,Light_Load,4.86
2021-01-19 03:00:00,Light_Load,4.82
2021-01-19 04:00:00,Light_Load,4.54
2021-01-19 05:00:00,Light_Load,4.72
2021-01-19 06:00:00,Light_Load,3.85
2021-01-19 07:00:00,Light_Load,4.54
2021-01-19 08:00:00,Light_Load,49.18
2021-01-19 09:00:00,Medium_Load,13.46
2021-01-19 10:00:00,Maximum_Load,21.96
2021-01-19 11:00:00,Maximum_Load,44.82
2021-01-19 12:00:00,Medium_Load,0.0
2021-01-19 13:00:00,Medium_Load,57.6
2021-01-19 14:00:00,Medium_Load,18.25
2021-01-19 15:00:00,Medium_Load,32.4
2021-01-19 16:00:00,Medium_Load,19.62
2021-01-19 17:00:00,Maximum_Load,8.39
2021-01-19 18:00:00,Maximum_Load,4.32
2021-01-19 19:00:00,Maximum_Load,0.76
2021-01-19 20:00:00,Medium_Load,0.79
2021-01-19 21:00:00,Medium_Load,1.22
2021-01-19 22:00:00,Maximum_Load,25.74
2021-01-19 23:00:00,Light_Load,30.46
2021-01-20 00:00:00,Light_Load,26.14
2021-01-20 01:00:00,Light_Load,24.7
2021-01-20 02:00:00,Light_Load,28.62
2021-01-20 03:00:00,Light_Load,26.24
2021-01-20 04:00:00,Light_Load,27.11
2021-01-20 05:00:00,Light_Load,30.53
2021-01-20 06:00:00,Light_Load,28.94
2021-01-20 07:00:00,Light_Load,30.64
2021-01-20 08:00:00,Light_Load,58.82
2021-01-20 09:00:00,Medium_Load,27.47
2021-01-20 10:00:00,Maximum_Load,55.08
2021-01-20 11:00:00,Maximum_Load,75.17
2021-01-20 12:00:00,Medium_Load,0.0
2021-01-20 13:00:00,Medium_Load,29.77
2021-01-20 14:00:00,Medium_Load,42.05
2021-01-20 15:00:00,Medium_Load,45.72
2021-01-20 16:00:00,Medium_Load,35.6
2021-01-20 17:00:00,Maximum_Load,8.14
2021-01-20 18:00:00,Maximum_Load,55.19
2021-01-20 19:00:00,Maximum_Load,60.01
2021-01-20 20:00:00,Medium_Load,40.36
2021-01-20 21:00:00,Medium_Load,0.72
2021-01-20 22:00:00,Maximum_Load,44.71
2021-01-20 23:00:00,Light_Load,43.34
2021-01-21 00:00:00,Light_Load,44.28
2021-01-21 01:00:00,Light_Load,23.98
2021-01-21 02:00:00,Light_Load,34.09
2021-01-21 03:00:00,Light_Load,28.91
2021-01-21 04:00:00,Light_Load,29.45
2021-01-21 05:00:00,Light_Load,40.57
2021-01-21 06:00:00,Light_Load,35.89
2021-01-21 07:00:00,Light_Load,39.89
2021-01-21 08:00:00,Light_Load,49.54
2021-01-21 09:00:00,Medium_Load,32.98
2021-01-21 10:00:00,Maximum_Load,35.46
2021-01-21 11:00:00,Maximum_Load,57.2
2021-01-21 12:00:00,Medium_Load,0.0
2021-01-21 13:00:00,Medium_Load,48.1
2021-01-21 14:00:00,Medium_Load,33.44
2021-01-21 15:00:00,Medium_Load,46.3
2021-01-21 16:00:00,Medium_Load,32.15
2021-01-21 17:00:00,Maximum_Load,0.36
2021-01-21 18:00:00,Maximum_Load,36.72
2021-01-21 19:00:00,Maximum_Load,63.25
2021-01-21 20:00:00,Medium_Load,14.94
2021-01-21 21:00:00,Medium_Load,4.64
2021-01-21 22:00:00,Maximum_Load,44.17
2021-01-21 23:00:00,Light_Load,23.11
2021-01-22 00:00:00,Light_Load,35.68
2021-01-22 01:00:00,Light_Load,42.8
2021-01-22 02:00:00,Light_Load,41.4
2021-01-22 03:00:00,Light_Load,36.58
2021-01-22 04:00:00,Light_Load,43.7
2021-01-22 05:00:00,Light_Load,34.99
2021-01-22 06:00:00,Light_Load,38.74
2021-01-22 07:00:00,Light_Load,27.4
2021-01-22 08:00:00,Light_Load,25.24
2021-01-22 09:00:00,Medium_Load,1.33
2021-01-22 10:00:00,Maximum_Load,11.12
2021-01-22 11:00:00,Maximum_Load,29.2
2021-01-22 12:00:00,Medium_Load,0.0
2021-01-22 13:00:00,Medium_Load,19.15
2021-01-22 14:00:00,Medium_Load,18.29
2021-01-22 15:00:00,Medium_Load,19.4
2021-01-22 16:00:00,Medium_Load,0.72
2021-01-22 17:00:00,Maximum_Load,0.04
2021-01-22 18:00:00,Maximum_Load,1.12
2021-01-22 19:00:00,Maximum_Load,0.25
2021-01-22 20:00:00,Medium_Load,0.25
2021-01-22 21:00:00,Medium_Load,0.22
2021-01-22 22:00:00,Maximum_Load,22.64
2021-01-22 23:00:00,Light_Load,29.16
2021-01-23 00:00:00,Light_Load,29.95
2021-01-23 01:00:00,Light_Load,28.44
2021-01-23 02:00:00,Light_Load,30.24
2021-01-23 03:00:00,Light_Load,29.09
2021-01-23 04:00:00,Light_Load,31.57
2021-01-23 05:00:00,Light_Load,5.44
2021-01-23 06:00:00,Light_Load,5.83
2021-01-23 07:00:00,Light_Load,6.08
2021-01-23 08:00:00,Light_Load,5.47
2021-01-23 09:00:00,Light_Load,0.0
2021-01-23 10:00:00,Light_Load,0.0
2021-01-23 11:00:00,Light_Load,0.0
2021-01-23 12:00:00,Light_Load,0.0
2021-01-23 13:00:00,Light_Load,0.0
2021-01-23 14:00:00,Light_Load,0.0
2021-01-23 15:00:00,Light_Load,0.0
2021-01-23 16:00:00,Light_Load,0.0
2021-01-23 17:00:00,Light_Load,0.0
2021-01-23 18:00:00,Light_Load,0.0
2021-01-23 19:00:00,Light_Load,0.0
2021-01-23 20:00:00,Light_Load,0.0
2021-01-23 21:00:00,Light_Load,0.0
2021-01-23 22:00:00,Light_Load,3.92
2021-01-23 23:00:00,Light_Load,2.81
2021-01-24 00:00:00,Light_Load,4.03
2021-01-24 01:00:00,Light_Load,3.28
2021-01-24 02:00:00,Light_Load,4.18
2021-01-24 03:00:00,Light_Load,3.31
2021-01-24 04:00:00,Light_Load,3.2
2021-01-24 05:00:00,Light_Load,4.07
2021-01-24 06:00:00,Light_Load,3.38
2021-01-24 07:00:00,Light_Load,4.75
2021-01-24 08:00:00,Light_Load,68.44
2021-01-24 09:00:00,Medium_Load,47.99
2021-01-24 10:00:00,Maximum_Load,41.83
2021-01-24 11:00:00,Maximum_Load,79.7
2021-01-24 12:00:00,Medium_Load,0.0
2021-01-24 13:00:00,Medium_Load,29.3
2021-01-24 14:00:00,Medium_Load,36.83
2021-01-24 15:00:00,Medium_Load,28.08
2021-01-24 16:00:00,Medium_Load,19.22
2021-01-24 17:00:00,Maximum_Load,5.36
2021-01-24 18:00:00,Maximum_Load,28.87
2021-01-24 19:00:00,Maximum_Load,35.28
2021-01-24 20:00:00,Medium_Load,15.44
2021-01-24 21:00:00,Medium_Load,0.0
2021-01-24 22:00:00,Maximum_Load,28.22
2021-01-24 23:00:00,Light_Load,28.69
2021-01-25 00:00:00,Light_Load,30.31
2021-01-25 01:00:00,Light_Load,23.04
2021-01-25 02:00:00,Light_Load,27.32
2021-01-25 03:00:00,Light_Load,26.21
2021-01-25 04:00:00,Light_Load,29.88
2021-01-25 05:00:00,Light_Load,25.6
2021-01-25 06:00:00,Light_Load,29.63
2021-01-25 07:00:00,Light_Load,28.15
2021-01-25 08:00:00,Light_Load,48.02
2021-01-25 09:00:00,Medium_Load,22.72
2021-01-25 10:00:00,Maximum_Load,28.69
2021-01-25 11:00:00,Maximum_Load,41.36
2021-01-25 12:00:00,Medium_Load,0.0
2021-01-25 13:00:00,Medium_Load,26.89
